very clamorous,vociferous,JJ
extremely particular,specific,JJ
absolutely mysterious,cryptical,JJ
rather visual,optic,JJ
extremely famous,illustrious,JJ
absolutely artificial,unreal,JJ
absolutely unnecessary,unneeded,JJ
absolutely gracious,courteous,JJ
extremely think,remember,VB
extremely white,caucasian,JJ
absolutely useful,utile,JJ
extremely dangerous,unsafe,JJ
ignominious,disgraceful,JJ
extremely white,caucasian,JJ
absolutely innumerable,multitudinous,JJ
rather pitiful,lamentable,JJ
extremely necessary,essential,JJ
absolutely innumerable,unnumbered,JJ
very palpable,tangible,JJ
extremely think,remember,VB
extremely curious,singular,JJ
rather indescribable,unspeakable,JJ
norwegian,norseman,JJ
very mischievous,impish,JJ
very ecstatic,rapturous,JJ
extremely terrible,severe,JJ
very indescribable,ineffable,JJ
extremely dangerous,unsafe,JJ
tyrannous,tyrannical,JJ
unrecognizable,unrecognisable,JJ
eatable,edible,JJ
absolutely innumerable,innumerous,JJ
inconsolable,unconsolable,JJ
absolutely amiable,affable,JJ
absolutely useful,utile,JJ
rather contentious,combative,JJ
very luxurious,sybaritic,JJ
extremely terrible,direful,JJ
excessive,unreasonable,JJ
extremely terrible,direful,JJ
absolutely jealous,envious,JJ
rather damnable,execrable,JJ
absolutely miserable,pathetic,JJ
very plenteous,copious,JJ
very hideous,outrageous,JJ
absolutely actual,existent,JJ
very ecstatic,rapturous,JJ
riotous,luxuriant,JJ
extremely black,inkiness,JJ
very common,green,JJ
really
long
not
very
too
quite
almost
only
hardly
never
often
so
