regular,nincompoop
blessed,or
awful,sorry
sheer,stupidity
real,sorry
blessed,dime
dead,tired
complete,coward
flaming,idiot
cursed,drop
truly,awful
wondrously,slowly
perfect,idiot
cursed,stupidity
cursed,if
terribly,interesting
clean,forgot
pure,folly
dead,right
very,gifted
regular,morass
dead,sure
really,little
real,indisposition
one,fire
one,hot
one,respectable
truly,great
everlasting,first
real,strength
sheer,persistence
cursed,with
real,little
perfect,little
wonderful,great
dead,much
really,much
real,right
better,right
best,right
well,what
perfect,way
marvellous,light
damned,light
perfectly,whole
best,light
really,nothing
regular,way
ever,such
one,first
one,much
awful,water
dead,water
really,water
really,bad
one,bad
one,little
very,fire
purest,light
blessed,light
wonderful,light
everlasting,light
perfect,light
cursed,second
damned,second
cursed,fine
wonderful,fine
one,fine
flaming,top
one,idea
ever,full
wondrously,minute
blessed,minute
everlasting,fire
clean,water
pure,water
terribly,pale
best,part
one,such
damned,different
perfectly,different
really,meant
best,way
very,mighty
very,full
better,order
everlasting,strength
best,order
one,light
well,wide
really,fine
perfectly,warm
very,idea
ever,warm
frightfully,hot
wondrous,minute
very,right
better,part
ever,hot
grand,master
