sentence,citation,heteronyms(lemmatized ver)(pronunciation)
Vigil strange I kept on the field one night ; When you my son and my comrade dropt at my side that day (comma) One look I but gave which your dear eyes return ' d with a look I shall never forget (comma) One touch of your hand to mine O boy (comma) reach ' d up as you lay on the ground (comma) Then onward I sped in the battle (comma) the even - contested battle (comma) Till late in the night reliev ' d to the place at last again I made my way (comma) Found you in death so cold dear comrade (comma) found your body son of responding kisses (comma) ( never again on earth responding ,) Bared your face in the starlight (comma) curious the scene (comma) cool blew the moderate night - wind (comma) Long there and then in vigil I stood (comma) dimly around me the battlefield spreading (comma) Vigil wondrous and vigil sweet there in the fragrant silent night (comma) But not a tear fell (comma) not even a long - drawn sigh (comma) long (comma) long I gazed (comma) Then on the earth partially reclining sat by your side leaning my chin in my hands (comma) Passing sweet hours (comma) immortal and mystic hours with you dearest comrade -- not a tear (comma) not a word (comma) Vigil of silence (comma) love and death (comma) vigil for you my son and my soldier (comma) As onward silently stars aloft (comma) eastward new ones upward stole (comma) Vigil final for you brave boy (comma) ( I could not save you (comma) swift was your death (comma) I faithfully loved you and cared for you living (comma) I think we shall surely meet again ,) Till at latest lingering of the night (comma) indeed just as the dawn appear ' d (comma) My comrade I wrapt in his blanket (comma) envelop ' d well his form (comma) Folded the blanket well (comma) tucking it carefully over head and carefully under feet (comma) And there and then and bathed by the rising sun (comma) my son in his grave (comma) in his rude - dug grave I deposited (comma) Ending my vigil strange with that (comma) vigil of night and battle - field dim (comma) Vigil for boy of responding kisses (comma) ( never again on earth responding ,) Vigil for comrade swiftly slain (comma) vigil I never forget (comma) how as day brighten ' d (comma) I rose from the chill ground and folded my soldier well in his blanket (comma) And buried him where he fell . ,gutenberg corpus,wind(wind)(wɪnd),tear(tear)(tɪr),tear(tear)(tɛr),living(live)(lɪv),
The line originally used in the fishery was of the best hemp (comma) slightly vapoured with tar (comma) not impregnated with it (comma) as in the case of ordinary ropes ; for while tar (comma) as ordinarily used (comma) makes the hemp more pliable to the rope - maker (comma) and also renders the rope itself more convenient to the sailor for common ship use ; yet (comma) not only would the ordinary quantity too much stiffen the whale - line for the close coiling to which it must be subjected ; but as most seamen are beginning to learn (comma) tar in general by no means adds to the rope ' s durability or strength (comma) however much it may give it compactness and gloss . ,gutenberg corpus,used(use)(just),used(use)(just),use(use)(),close(close)(kloʊs),
Spontaneous me (comma) Nature (comma) The loving day (comma) the mounting sun (comma) the friend I am happy with (comma) The arm of my friend hanging idly over my shoulder (comma) The hillside whiten ' d with blossoms of the mountain ash (comma) The same late in autumn (comma) the hues of red (comma) yellow (comma) drab (comma) purple (comma) and light and dark green (comma) The rich coverlet of the grass (comma) animals and birds (comma) the private untrimm ' d bank (comma) the primitive apples (comma) the pebble - stones (comma) Beautiful dripping fragments (comma) the negligent list of one after another as I happen to call them to me or think of them (comma) The real poems (comma) ( what we call poems being merely pictures ,) The poems of the privacy of the night (comma) and of men like me (comma) This poem drooping shy and unseen that I always carry (comma) and that all men carry (comma) ( Know once for all (comma) avow ' d on purpose (comma) wherever are men like me (comma) are our lusty lurking masculine poems ,) Love - thoughts (comma) love - juice (comma) love - odor (comma) love - yielding (comma) love - climbers (comma) and the climbing sap (comma) Arms and hands of love (comma) lips of love (comma) phallic thumb of love (comma) breasts of love (comma) bellies press ' d and glued together with love (comma) Earth of chaste love (comma) life that is only life after love (comma) The body of my love (comma) the body of the woman I love (comma) the body of the man (comma) the body of the earth (comma) Soft forenoon airs that blow from the south - west (comma) The hairy wild - bee that murmurs and hankers up and down (comma) that gripes the full - grown lady - flower (comma) curves upon her with amorous firm legs (comma) takes his will of her (comma) and holds himself tremulous and tight till he is satisfied ; The wet of woods through the early hours (comma) Two sleepers at night lying close together as they sleep (comma) one with an arm slanting down across and below the waist of the other (comma) The smell of apples (comma) aromas from crush ' d sage - plant (comma) mint (comma) birch - bark (comma) The boy ' s longings (comma) the glow and pressure as he confides to me what he was dreaming (comma) The dead leaf whirling its spiral whirl and falling still and content to the ground (comma) The no - form ' d stings that sights (comma) people (comma) objects (comma) sting me with (comma) The hubb ' d sting of myself (comma) stinging me as much as it ever can any one (comma) The sensitive (comma) orbic (comma) underlapp ' d brothers (comma) that only privileged feelers may be intimate where they are (comma) The curious roamer the hand roaming all over the body (comma) the bashful withdrawing of flesh where the fingers soothingly pause and edge themselves (comma) The limpid liquid within the young man (comma) The vex ' d corrosion so pensive and so painful (comma) The torment (comma) the irritable tide that will not be at rest (comma) The like of the same I feel (comma) the like of the same in others (comma) The young man that flushes and flushes (comma) and the young woman that flushes and flushes (comma) The young man that wakes deep at night (comma) the hot hand seeking to repress what would master him (comma) The mystic amorous night (comma) the strange half - welcome pangs (comma) visions (comma) sweats (comma) The pulse pounding through palms and trembling encircling fingers (comma) the young man all color ' d (comma) red (comma) ashamed (comma) angry ; The souse upon me of my lover the sea (comma) as I lie willing and naked (comma) The merriment of the twin babes that crawl over the grass in the sun (comma) the mother never turning her vigilant eyes from them (comma) The walnut - trunk (comma) the walnut - husks (comma) and the ripening or ripen ' d long - round walnuts (comma) The continence of vegetables (comma) birds (comma) animals (comma) The consequent meanness of me should I skulk or find myself indecent (comma) while birds and animals never once skulk or find themselves indecent (comma) The great chastity of paternity (comma) to match the great chastity of maternity (comma) The oath of procreation I have sworn (comma) my Adamic and fresh daughters (comma) The greed that eats me day and night with hungry gnaw (comma) till I saturate what shall produce boys to fill my place when I am through (comma) The wholesome relief (comma) repose (comma) content (comma) And this bunch pluck ' d at random from myself (comma) It has done its work -- I toss it carelessly to fall where it may . ,gutenberg corpus,close(close)(kloʊs),content(content)(kənˈtɛnt),intimate(intimate)(ˈɪn(t)əˌmeɪt),content(content)(ˈkɑntɛnt),
5 : 27 At her feet he bowed (comma) he fell (comma) he lay down : at her feet he bowed (comma) he fell : where he bowed (comma) there he fell down dead . ,gutenberg corpus,bowed(bow)(boʊ),bowed(bow)(baʊ),bowed(bow)(boʊ),
And (comma) behold (comma) the LORD passed by (comma) and a great and strong wind rent the mountains (comma) and brake in pieces the rocks before the LORD ; but the LORD was not in the wind : and after the wind an earthquake ; but the LORD was not in the earthquake : 19 : 12 And after the earthquake a fire ; but the LORD was not in the fire : and after the fire a still small voice . ,gutenberg corpus,wind(wind)(waɪnd),wind(wind)(wɪnd),wind(wind)(wɪnd),
12 : 2 They were armed with bows (comma) and could use both the right hand and the left in hurling stones and shooting arrows out of a bow (comma) even of Saul ' s brethren of Benjamin . ,gutenberg corpus,bows(bow)(boʊ),use(use)(just),bow(bow)(baʊ),
Here pilgrims roam (comma) that strayed so far to seek In Golgotha him dead (comma) who lives in Heaven ; And they (comma) who to be sure of Paradise (comma) Dying (comma) put on the weeds of Dominick (comma) Or in Franciscan think to pass disguised ; They pass the planets seven (comma) and pass the fixed (comma) And that crystalling sphere whose balance weighs The trepidation talked (comma) and that first moved ; And now Saint Peter at Heaven ' s wicket seems To wait them with his keys (comma) and now at foot Of Heaven ' s ascent they lift their feet (comma) when lo A violent cross wind from either coast Blows them transverse (comma) ten thousand leagues awry Into the devious air : Then might ye see Cowls (comma) hoods (comma) and habits (comma) with their wearers (comma) tost And fluttered into rags ; then reliques (comma) beads (comma) Indulgences (comma) dispenses (comma) pardons (comma) bulls (comma) The sport of winds : All these (comma) upwhirled aloft (comma) Fly o ' er the backside of the world far off Into a Limbo large and broad (comma) since called The Paradise of Fools (comma) to few unknown Long after ; now unpeopled (comma) and untrod . ,gutenberg corpus,lives(live)(lɪv),wind(wind)(waɪnd),winds(wind)(wɪnd),
Thence up he flew (comma) and on the tree of life (comma) The middle tree and highest there that grew (comma) Sat like a cormorant ; yet not true life Thereby regained (comma) but sat devising death To them who lived ; nor on the virtue thought Of that life - giving plant (comma) but only used For prospect (comma) what well used had been the pledge Of immortality . ,gutenberg corpus,lived(live)(lɪv),used(use)(just),used(use)(juz),
But I am not the sea nor the red sun (comma) I am not the wind with girlish laughter (comma) Not the immense wind which strengthens (comma) not the wind which lashes (comma) Not the spirit that ever lashes its own body to terror and death (comma) But I am that which unseen comes and sings (comma) sings (comma) sings (comma) Which babbles in brooks and scoots in showers on the land (comma) Which the birds know in the woods mornings and evenings (comma) And the shore - sands know and the hissing wave (comma) and that banner and pennant (comma) Aloft there flapping and flapping . ,gutenberg corpus,wind(wind)(waɪnd),wind(wind)(wɪnd),wind(wind)(waɪnd),
7 : 24 And the fat of the beast that dieth of itself (comma) and the fat of that which is torn with beasts (comma) may be used in any other use : but ye shall in no wise eat of it . ,gutenberg corpus,torn(tear)(tɛr),used(use)(just),use(use)(),
Thou Sun (comma) said I (comma) fair light (comma) And thou enlightened Earth (comma) so fresh and gay (comma) Ye Hills (comma) and Dales (comma) ye Rivers (comma) Woods (comma) and Plains (comma) And ye that live and move (comma) fair Creatures (comma) tell (comma) Tell (comma) if ye saw (comma) how I came thus (comma) how here ?-- Not of myself ;-- by some great Maker then (comma) In goodness and in power pre - eminent : Tell me (comma) how may I know him (comma) how adore (comma) From whom I have that thus I move and live (comma) And feel that I am happier than I know .-- While thus I called (comma) and strayed I knew not whither (comma) From where I first drew air (comma) and first beheld This happy light ; when (comma) answer none returned (comma) On a green shady bank (comma) profuse of flowers (comma) Pensive I sat me down : There gentle sleep First found me (comma) and with soft oppression seised My droused sense (comma) untroubled (comma) though I thought I then was passing to my former state Insensible (comma) and forthwith to dissolve : When suddenly stood at my head a dream (comma) Whose inward apparition gently moved My fancy to believe I yet had being (comma) And lived : One came (comma) methought (comma) of shape divine (comma) And said (comma) ' Thy mansion wants thee (comma) Adam ; rise (comma) ' First Man (comma) of men innumerable ordained ' First Father ! ,gutenberg corpus,live(live)(laɪv),live(live)(lɪv),lived(live)(lɪv),
(double quotes) Emma (comma) I must once more speak to you as I have been used to do : a privilege rather endured than allowed (comma) perhaps (comma) but I must still use it . ,gutenberg corpus,used(use)(juz),use(use)(just),
Mr . Woodhouse could not be soon reconciled ; but the worst was overcome (comma) the idea was given ; time and continual repetition must do the rest .-- To Emma ' s entreaties and assurances succeeded Mr . Knightley ' s (comma) whose fond praise of her gave the subject even a kind of welcome ; and he was soon used to be talked to by each (comma) on every fair occasion .-- They had all the assistance which Isabella could give (comma) by letters of the strongest approbation ; and Mrs . Weston was ready (comma) on the first meeting (comma) to consider the subject in the most serviceable light -- first (comma) as a settled (comma) and (comma) secondly (comma) as a good one -- well aware of the nearly equal importance of the two recommendations to Mr . Woodhouse ' s mind .-- It was agreed upon (comma) as what was to be ; and every body by whom he was used to be guided assuring him that it would be for his happiness ; and having some feelings himself which almost admitted it (comma) he began to think that some time or other -- in another year or two (comma) perhaps -- it might not be so very bad if the marriage did take place . ,gutenberg corpus,used(use)(just),used(use)(juz),
33 : 7 And Leah also with her children came near (comma) and bowed themselves : and after came Joseph near and Rachel (comma) and they bowed themselves . ,gutenberg corpus,bowed(bow)(boʊ),bowed(bow)(baʊ),
10 : 13 And Moses stretched forth his rod over the land of Egypt (comma) and the LORD brought an east wind upon the land all that day (comma) and all that night ; and when it was morning (comma) the east wind brought the locusts . ,gutenberg corpus,wind(wind)(wɪnd),wind(wind)(waɪnd),
26 : 23 And if ye will not be reformed by me by these things (comma) but will walk contrary unto me ; 26 : 24 Then will I also walk contrary unto you (comma) and will punish you yet seven times for your sins . ,gutenberg corpus,contrary(contrary)(kənˈtrɛri),contrary(contrary)(ˈkɑntrɛri),
26 : 27 And if ye will not for all this hearken unto me (comma) but walk contrary unto me ; 26 : 28 Then I will walk contrary unto you also in fury ; and I (comma) even I (comma) will chastise you seven times for your sins . ,gutenberg corpus,contrary(contrary)(kənˈtrɛri),contrary(contrary)(ˈkɑntrɛri),
26 : 40 If they shall confess their iniquity (comma) and the iniquity of their fathers (comma) with their trespass which they trespassed against me (comma) and that also they have walked contrary unto me ; 26 : 41 And that I also have walked contrary unto them (comma) and have brought them into the land of their enemies ; if then their uncircumcised hearts be humbled (comma) and they then accept of the punishment of their iniquity : 26 : 42 Then will I remember my covenant with Jacob (comma) and also my covenant with Isaac (comma) and also my covenant with Abraham will I remember ; and I will remember the land . ,gutenberg corpus,contrary(contrary)(ˈkɑntrɛri),contrary(contrary)(kənˈtrɛri),
5 : 18 In this thing the LORD pardon thy servant (comma) that when my master goeth into the house of Rimmon to worship there (comma) and he leaneth on my hand (comma) and I bow myself in the house of Rimmon : when I bow down myself in the house of Rimmon (comma) the LORD pardon thy servant in this thing . ,gutenberg corpus,bow(bow)(boʊ),bow(bow)(baʊ),
80 : 5 Thou feedest them with the bread of tears ; and givest them tears to drink in great measure . ,gutenberg corpus,tears(tear)(tɛr),tears(tear)(tɪr),
1 : 6 The wind goeth toward the south (comma) and turneth about unto the north ; it whirleth about continually (comma) and the wind returneth again according to his circuits . ,gutenberg corpus,wind(wind)(wɪnd),wind(wind)(waɪnd),
27 : 8 In measure (comma) when it shooteth forth (comma) thou wilt debate with it : he stayeth his rough wind in the day of the east wind . ,gutenberg corpus,wind(wind)(wɪnd),wind(wind)(waɪnd),
4 : 11 At that time shall it be said to this people and to Jerusalem (comma) A dry wind of the high places in the wilderness toward the daughter of my people (comma) not to fan (comma) nor to cleanse (comma) 4 : 12 Even a full wind from those places shall come unto me : now also will I give sentence against them . ,gutenberg corpus,wind(wind)(wɪnd),wind(wind)(waɪnd),
13 : 15 Though he be fruitful among his brethren (comma) an east wind shall come (comma) the wind of the LORD shall come up from the wilderness (comma) and his spring shall become dry (comma) and his fountain shall be dried up : he shall spoil the treasure of all pleasant vessels . ,gutenberg corpus,wind(wind)(waɪnd),wind(wind)(wɪnd),
[*] The eBook (comma) when displayed (comma) is clearly readable (comma) and does * not * contain characters other than those intended by the author of the work (comma) although tilde (~), asterisk (*) and underline ( _ ) characters may be used to convey punctuation intended by the author (comma) and additional characters may be used to indicate hypertext links ; OR ,gutenberg corpus,used(use)(just),used(use)(juz),
[ 3 ] Pay a trademark license fee to the Foundation of 20 % of the gross profits you derive calculated using the method you already use to calculate your applicable taxes . ,gutenberg corpus,using(use)(just),use(use)(juz),
For as in this world (comma) head winds are far more prevalent than winds from astern ( that is (comma) if you never violate the Pythagorean maxim ), so for the most part the Commodore on the quarter - deck gets his atmosphere at second hand from the sailors on the forecastle . ,gutenberg corpus,winds(wind)(wɪnd),winds(wind)(waɪnd),
To accomplish his object Ahab must use tools ; and of all tools used in the shadow of the moon (comma) men are most apt to get out of order . ,gutenberg corpus,use(use)(juz),used(use)(just),
Until Cabaco ' s published discovery (comma) the sailors had little foreseen it (comma) though to be sure when (comma) after being a little while out of port (comma) all hands had concluded the customary business of fitting the whaleboats for service ; when some time after this Ahab was now and then found bestirring himself in the matter of making thole - pins with his own hands for what was thought to be one of the spare boats (comma) and even solicitously cutting the small wooden skewers (comma) which when the line is running out are pinned over the groove in the bow : when all this was observed in him (comma) and particularly his solicitude in having an extra coat of sheathing in the bottom of the boat (comma) as if to make it better withstand the pointed pressure of his ivory limb ; and also the anxiety he evinced in exactly shaping the thigh board (comma) or clumsy cleat (comma) as it is sometimes called (comma) the horizontal piece in the boat ' s bow for bracing the knee against in darting or stabbing at the whale ; when it was observed how often he stood up in that boat with his solitary knee fixed in the semi - circular depression in the cleat (comma) and with the carpenter ' s chisel gouged out a little here and straightened it a little there ; all these things (comma) I say (comma) had awakened much interest and curiosity at the time . ,gutenberg corpus,bow(bow)(baʊ),bow(bow)(boʊ),
Besides (comma) amber is a hard (comma) transparent (comma) brittle (comma) odorless substance (comma) used for mouth - pieces to pipes (comma) for beads and ornaments ; but ambergris is soft (comma) waxy (comma) and so highly fragrant and spicy (comma) that it is largely used in perfumery (comma) in pastiles (comma) precious candles (comma) hair - powders (comma) and pomatum . ,gutenberg corpus,used(use)(just),used(use)(juz),
